id_ciudad_origen,id_ciudad_destino,capacidad,costo
BUEN_PORT,MEDELLIN,34.0,4390000.0
CBOD,ARMENIA,4.5,805577.0
CBOD,ARMENIA,8.5,1166447.0
CBOD,BARRANCABERMEJA,4.5,2530000.0
CBOD,BARRANCABERMEJA,8.5,3100000.0
CBOD,BARRANCABERMEJA,17.0,4955000.0
CBOD,BARRANCABERMEJA,34.0,6400000.0
CBOD,BARRANQUILLA,4.5,2425000.0
CBOD,BARRANQUILLA,8.5,2990000.0
CBOD,BARRANQUILLA,17.0,4750000.0
CBOD,BARRANQUILLA,34.0,6190000.0
CBOD,BOGOTA,4.5,1085000.0
CBOD,BOGOTA,8.5,1495000.0
CBOD,BOGOTA,17.0,3180000.0
CBOD,BOGOTA,34.0,4390000.0
CBOD,BOGOTA PERIM URBANO,4.5,1085000.0
CBOD,BOGOTA PERIM URBANO,8.5,1495000.0
CBOD,BOGOTA PERIM URBANO,17.0,3180000.0
CBOD,BOGOTA PERIM URBANO,34.0,4390000.0
CBOD,BUCARAMANGA,4.5,2425000.0
CBOD,BUCARAMANGA,8.5,2990000.0
CBOD,BUCARAMANGA,17.0,4750000.0
CBOD,BUCARAMANGA,34.0,6190000.0
CBOD,CALARCA,4.5,805576.5
CBOD,CALARCA,8.5,1166446.5
CBOD,CALI,1.0,64488.0
CBOD,CALOTO,4.5,483345.0
CBOD,CALOTO,8.5,558671.0
CBOD,CANDELARIA,1.0,64488.0
CBOD,CARTAGENA,4.5,2425000.0
CBOD,CARTAGENA,8.5,2990000.0
CBOD,CARTAGENA,17.0,4750000.0
CBOD,CARTAGENA,34.0,6190000.0
CBOD,CARTAGO,4.5,805577.0
CBOD,CARTAGO,8.5,1166447.0
CBOD,CBOD,1.0,64488.0
CBOD,CGNA_CEDI,4.5,2425000.0
CBOD,CGNA_CEDI,8.5,2990000.0
CBOD,CGNA_CEDI,17.0,4750000.0
CBOD,CGNA_CEDI,34.0,6190000.0
CBOD,CIENAGA,4.5,2425000.0
CBOD,CIENAGA,8.5,2990000.0
CBOD,CIENAGA,17.0,4750000.0
CBOD,CIENAGA,34.0,6190000.0
CBOD,CUCUTA,4.5,2580000.0
CBOD,CUCUTA,8.5,4645000.0
CBOD,CUCUTA,17.0,5880000.0
CBOD,CUCUTA,34.0,6300000.0
