,tiempo,producto,transporte,origen,destino,costo,valor_decision
188,1,ANTIFIBRILANTES,17.0,ABOD,BOGOTA,2735000.0,0.0
189,1,ANTIFIBRILANTES,34.0,ABOD,BOGOTA,3150000.0,0.0
190,1,ANTIFIBRILANTES,4.5,ABOD,CALI,1135000.0,0.0
191,1,ANTIFIBRILANTES,8.5,ABOD,CALI,1580000.0,0.0
192,1,ANTIFIBRILANTES,17.0,ABOD,CALI,2735000.0,0.0
193,1,ANTIFIBRILANTES,34.0,ABOD,CALI,3860000.0,0.0
194,1,ANTIFIBRILANTES,4.5,ABOD,CARTAGENA,1580000.0,0.0
195,1,ANTIFIBRILANTES,8.5,ABOD,CARTAGENA,2190000.0,0.0
196,1,ANTIFIBRILANTES,17.0,ABOD,CARTAGENA,2650000.0,0.0
197,1,ANTIFIBRILANTES,34.0,ABOD,CARTAGENA,3400000.0,0.0
198,1,ANTIFIBRILANTES,1.0,ABOD,ENVIGADO,64488.0,0.5
199,1,ANTIFIBRILANTES,4.5,ABOD,GIRON,1455000.0,0.0
200,1,ANTIFIBRILANTES,8.5,ABOD,GIRON,1660000.0,0.0
201,1,ANTIFIBRILANTES,17.0,ABOD,GIRON,2610000.0,0.0
202,1,ANTIFIBRILANTES,34.0,ABOD,GIRON,3820000.0,0.011764705882352941
203,1,ANTIFIBRILANTES,1.0,ABOD,ITAGUI,64488.0,70.0
204,1,ANTIFIBRILANTES,1.0,ABOD,LA ESTRELLA,64488.0,0.3
205,1,ANTIFIBRILANTES,4.5,ABOD,MANIZALES,1075000.0,0.0
206,1,ANTIFIBRILANTES,8.5,ABOD,MANIZALES,1220000.0,0.0
207,1,ANTIFIBRILANTES,17.0,ABOD,MANIZALES,2000000.0,0.0
208,1,ANTIFIBRILANTES,34.0,ABOD,MANIZALES,3600000.0,0.0007352941176470588
209,1,ANTIFIBRILANTES,1.0,ABOD,MEDELLIN,64488.0,0.0
210,1,ANTIFIBRILANTES,1.0,ABOD,RIONEGRO,64488.0,0.0
211,1,ANTIFIBRILANTES,4.5,ABOD,RIONEGRO,344052.0,0.0
212,1,ANTIFIBRILANTES,4.5,CBOD,BARRANQUILLA,2425000.0,0.0
213,1,ANTIFIBRILANTES,8.5,CBOD,BARRANQUILLA,2990000.0,0.0
214,1,ANTIFIBRILANTES,17.0,CBOD,BARRANQUILLA,4750000.0,0.0
215,1,ANTIFIBRILANTES,34.0,CBOD,BARRANQUILLA,6190000.0,0.0
216,1,ANTIFIBRILANTES,4.5,CBOD,BOGOTA,1085000.0,0.0
217,1,ANTIFIBRILANTES,8.5,CBOD,BOGOTA,1495000.0,0.0
218,1,ANTIFIBRILANTES,17.0,CBOD,BOGOTA,3180000.0,0.0
219,1,ANTIFIBRILANTES,34.0,CBOD,BOGOTA,4390000.0,0.0
220,1,ANTIFIBRILANTES,1.0,CBOD,CALI,64488.0,0.0
221,1,ANTIFIBRILANTES,4.5,CBOD,CARTAGENA,2425000.0,0.0
222,1,ANTIFIBRILANTES,8.5,CBOD,CARTAGENA,2990000.0,0.0
223,1,ANTIFIBRILANTES,17.0,CBOD,CARTAGENA,4750000.0,0.0
224,1,ANTIFIBRILANTES,34.0,CBOD,CARTAGENA,6190000.0,0.0
225,1,ANTIFIBRILANTES,4.5,CBOD,GIRON,2425000.0,0.0
226,1,ANTIFIBRILANTES,8.5,CBOD,GIRON,2990000.0,0.0
227,1,ANTIFIBRILANTES,17.0,CBOD,GIRON,4750000.0,0.0
228,1,ANTIFIBRILANTES,34.0,CBOD,GIRON,6190000.0,0.0
229,1,ANTIFIBRILANTES,4.5,CBOD,MANIZALES,805577.0,0.0
230,1,ANTIFIBRILANTES,8.5,CBOD,MANIZALES,1166447.0,0.0
231,1,ANTIFIBRILANTES,4.5,CBOD,MEDELLIN,1085000.0,0.0
232,1,ANTIFIBRILANTES,8.5,CBOD,MEDELLIN,1495000.0,0.0
233,1,ANTIFIBRILANTES,17.0,CBOD,MEDELLIN,3400000.0,0.0
234,1,ANTIFIBRILANTES,34.0,CBOD,MEDELLIN,4390000.0,0.0
235,1,ANTIFIBRILANTES,4.5,CBOD,RIONEGRO,1085000.0,0.0
236,1,ANTIFIBRILANTES,8.5,CBOD,RIONEGRO,1495000.0,0.0
237,1,ANTIFIBRILANTES,17.0,CBOD,RIONEGRO,3400000.0,0.0
238,1,ANTIFIBRILANTES,34.0,CBOD,RIONEGRO,4390000.0,0.0
239,1,ANTIFIBRILANTES,1.0,CBOD,YUMBO,64488.0,0.225
240,1,ANTIFIBRILANTES,4.5,BBOD,BARRANQUILLA,1930000.0,0.0
241,1,ANTIFIBRILANTES,8.5,BBOD,BARRANQUILLA,2270000.0,0.0
242,1,ANTIFIBRILANTES,17.0,BBOD,BARRANQUILLA,3200000.0,0.0
243,1,ANTIFIBRILANTES,34.0,BBOD,BARRANQUILLA,5025000.0,0.0
244,1,ANTIFIBRILANTES,1.0,BBOD,BOGOTA,64488.0,0.0
245,1,ANTIFIBRILANTES,4.5,BBOD,CALI,1135000.0,0.0
246,1,ANTIFIBRILANTES,8.5,BBOD,CALI,1540000.0,0.0
247,1,ANTIFIBRILANTES,17.0,BBOD,CALI,2840000.0,0.0
248,1,ANTIFIBRILANTES,34.0,BBOD,CALI,4265000.0,0.0
249,1,ANTIFIBRILANTES,4.5,BBOD,CARTAGENA,1930000.0,0.0
250,1,ANTIFIBRILANTES,8.5,BBOD,CARTAGENA,2270000.0,0.0
251,1,ANTIFIBRILANTES,17.0,BBOD,CARTAGENA,3200000.0,0.0
252,1,ANTIFIBRILANTES,34.0,BBOD,CARTAGENA,5025000.0,0.0
253,1,ANTIFIBRILANTES,1.0,BBOD,FUNZA,80584.0,7.0
254,1,ANTIFIBRILANTES,4.5,BBOD,GIRON,1160000.0,0.0
255,1,ANTIFIBRILANTES,8.5,BBOD,GIRON,1640000.0,0.0
256,1,ANTIFIBRILANTES,17.0,BBOD,GIRON,3075000.0,0.0
257,1,ANTIFIBRILANTES,34.0,BBOD,GIRON,4365000.0,0.0
258,1,ANTIFIBRILANTES,4.5,BBOD,MANIZALES,1135000.0,0.0
259,1,ANTIFIBRILANTES,8.5,BBOD,MANIZALES,1540000.0,0.0
260,1,ANTIFIBRILANTES,17.0,BBOD,MANIZALES,2800000.0,0.0
261,1,ANTIFIBRILANTES,34.0,BBOD,MANIZALES,4220000.0,0.0
262,1,ANTIFIBRILANTES,4.5,BBOD,MEDELLIN,1160000.0,0.0
263,1,ANTIFIBRILANTES,8.5,BBOD,MEDELLIN,1580000.0,0.0
264,1,ANTIFIBRILANTES,17.0,BBOD,MEDELLIN,2950000.0,0.0
265,1,ANTIFIBRILANTES,34.0,BBOD,MEDELLIN,4365000.0,0.0
266,1,ANTIFIBRILANTES,4.5,BBOD,RIONEGRO,1160000.0,0.0
267,1,ANTIFIBRILANTES,8.5,BBOD,RIONEGRO,1580000.0,0.0
268,1,ANTIFIBRILANTES,17.0,BBOD,RIONEGRO,2950000.0,0.0
269,1,ANTIFIBRILANTES,34.0,BBOD,RIONEGRO,4365000.0,0.0
270,1,ANTIFIBRILANTES,4.5,BBOD,ZIPAQUIRA,80584.0,0.5555555555555556
271,1,ANTIFIBRILANTES,40.0,CGNA_PORT,BUENOS AIRES,2833236.8,0.675
272,1,ANTIFIBRILANTES,40.0,CGNA_PORT,CAMBUI,2236613.2,2.6
273,1,ANTIFIBRILANTES,40.0,CGNA_PORT,GUAYAQUIL,2398098.0,1.35
274,1,ANTIFIBRILANTES,40.0,CGNA_PORT,LIMA,2056433.5,0.25
275,1,ANTIFIBRILANTES,40.0,CGNA_PORT,MIGUEL HIDALGO,5922958.2,0.00125
276,1,ANTIFIBRILANTES,40.0,CGNA_PORT,PATZICIA,5193300.4,1.15
