,tiempo,producto,transporte,origen,destino,costo,valor_decision
232,4,COPOLIMERO RANDOM,1.0,CGNA_PLANT,ABOD,153600.0,4.9750000000000005
233,4,COPOLIMERO RANDOM,1.0,CGNA_PLANT,BBOD,166400.0,39.825
234,4,COPOLIMERO RANDOM,1.0,CGNA_PLANT,CBOD,173000.0,17.4
239,4,HDPE HMW BIMODAL,1.0,CBOD,CBOD,64488.0,58.0
240,4,HDPE HMW BIMODAL,1.0,CGNA_PLANT,ABOD,153600.0,34.0
248,4,HDPE SOPLADO,34.0,CBOD,CGNA_CEDI,6190000.0,0.0020955882352941177
249,4,HDPE SOPLADO,17.0,CBOD,CGNA_CEDI,4750000.0,0.0001323529411764706
250,4,HDPE SOPLADO,8.5,CBOD,CGNA_CEDI,2990000.0,8.823529411764708e-05
251,4,HDPE SOPLADO,4.5,CBOD,CGNA_CEDI,2425000.0,0.0001666666666666667
252,4,HDPE SOPLADO,1.0,CGNA_PLANT,ABOD,153600.0,34.0
253,4,HDPE SOPLADO,1.0,CGNA_PLANT,BBOD,166400.0,34.0
254,4,HDPE SOPLADO,1.0,CGNA_PLANT,CBOD,173000.0,49.0
261,4,HOMOPOLIMERO,1.0,CGNA_PLANT,ABOD,153600.0,25.75
262,4,HOMOPOLIMERO,1.0,CGNA_PLANT,BBOD,166400.0,120.92500000000001
263,4,HOMOPOLIMERO,1.0,CGNA_PLANT,CBOD,173000.0,35.85
271,4,LDPE USO GENERAL,1.0,ABOD,ABOD,64488.0,6.0
274,4,LDPE USO GENERAL,1.0,CBOD,CBOD,64488.0,5.5
277,4,LLDPE METALOCENO,1.0,CBOD,CBOD,64488.0,10.0
280,4,MASTERB. BLANCO B.PE,34.0,CBOD,CGNA_CEDI,6190000.0,0.0013970588235294118
281,4,MASTERB. BLANCO B.PE,17.0,CBOD,CGNA_CEDI,4750000.0,8.823529411764706e-05
282,4,MASTERB. BLANCO B.PE,8.5,CBOD,CGNA_CEDI,2990000.0,5.882352941176471e-05
283,4,MASTERB. BLANCO B.PE,4.5,CBOD,CGNA_CEDI,2425000.0,0.00011111111111111112
284,4,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,3.75
285,4,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,3.15
286,4,MASTERB. BLANCO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,7.450000000000001
288,4,MASTERB. BLANCO B.PP,1.0,CGNA_PLANT,BBOD,166400.0,0.1
290,4,MASTERB. BLANCO B.PS,1.0,CGNA_PLANT,BBOD,166400.0,0.95
294,4,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,ABOD,153600.0,1.925
295,4,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,BBOD,166400.0,3.0749999999999997
296,4,MASTERB. NEGRO B.PE,1.0,CGNA_PLANT,CBOD,173000.0,1.25
